Gene_symbol,CRO-AP2,DB,GRANTA-519,JM1,JSC-1,KARPAS-1106P,KARPAS-422,NU-DUL-1,OCI-LY7,RC-K8,SCC-3,SLVL,SU-DHL-4,SU-DHL-8,TK,TUR,WSU-DLCL2
Null,Sensitive,Resistive,Resistive,Sensitive,Resistive,Sensitive,Resistive,Sensitive,Sensitive,Resistive,Sensitive,Sensitive,Sensitive,Resistive,Resistive,Resistive,Sensitive
HSPB6,0.3,0.11,0.34,0.49,0.54,0.36,0.16,0.98,1.95,0.6,3.79,2.89,0.3,1.61,1.39,3.67,8.23
HSPB7,0.0,0.0,2.48,0.0,0.07,0.11,0.04,0.0,0.0,0.26,0.03,0.06,0.95,0.03,0.0,0.0,0.0
HSPB8,0.0,0.0,0.07,0.0,0.0,0.0,0.04,0.07,0.0,0.0,0.0,0.03,0.1,0.03,0.0,0.0,0.0
HSPB9,0.36,0.38,0.34,1.56,0.7,0.07,3.71,0.42,0.29,0.89,0.4,0.16,0.16,0.74,0.82,0.66,0.16
HSPB11,38.42,72.08,18.7,46.13,24.76,47.26,59.03,54.48,28.67,27.97,38.19,15.12,40.23,27.11,66.29,27.01,33.09
HSPBAP1,9.88,14.91,11.49,9.46,8.16,9.79,16.53,7.12,11.35,15.53,2.68,8.29,4.72,6.58,7.16,6.79,3.46
HSPBP1,50.54,73.82,60.22,62.44,84.27,67.31,136.23,69.2,67.13,63.3,80.06,45.46,103.15,62.55,92.2,60.19,54.48
HSPD1,690.15,1014.26,628.87,1089.15,783.84,564.89,787.36,899.08,445.35,1212.58,457.09,519.41,528.33,577.02,1006.68,643.57,462.54
HSPD1P1,1.98,0.49,0.27,0.38,1.94,1.72,0.36,0.38,0.96,1.99,0.8,0.96,0.2,0.2,1.87,1.45,0.0
HSPD1P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPD1P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPD1P4,5.48,1.03,0.82,0.53,1.14,2.11,0.72,2.76,0.26,2.28,0.33,0.93,0.23,2.38,0.6,0.66,0.16
HSPD1P5,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
HSPD1P6,0.13,0.08,0.0,0.08,0.13,0.18,0.16,0.0,0.1,0.17,0.1,0.37,0.0,0.03,0.19,0.14,0.0
HSPD1P7,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
HSPD1P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPD1P9,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
HSPD1P10,0.07,0.0,0.24,0.04,0.2,0.11,0.28,0.14,0.03,0.1,0.03,0.06,0.03,0.27,0.22,0.17,0.1
HSPD1P11,0.0,0.0,1.94,0.76,0.0,0.0,0.0,0.7,0.0,0.0,1.67,0.03,0.0,0.03,0.15,0.0,0.03
HSPD1P12,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.07,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
HSPD1P14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPD1P15,0.0,0.46,1.43,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
HSPD1P16,0.13,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPD1P18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPD1P21,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
HSPE1,181.38,221.28,165.2,468.4,168.38,165.05,326.98,306.51,130.13,239.05,125.85,67.1,182.52,217.4,230.82,137.01,53.56
HSPE1-MOB4,0.07,0.99,0.1,0.61,0.2,0.14,0.48,0.28,0.16,0.1,0.07,0.03,0.0,0.3,0.3,0.07,0.0
HSPE1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1P2,0.07,0.0,0.31,0.0,0.07,0.07,0.56,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1P3,0.92,0.61,0.31,1.33,1.47,3.54,2.24,0.21,0.58,1.95,1.17,0.53,1.31,0.67,1.16,1.28,0.53
HSPE1P4,0.13,0.0,0.31,0.0,0.13,0.29,0.0,0.0,0.0,0.07,0.33,0.25,0.0,0.0,0.15,0.14,0.0
HSPE1P5,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.0
HSPE1P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1P7,0.0,0.0,0.0,0.0,0.07,0.14,0.0,0.0,0.13,0.17,0.0,0.0,0.0,0.0,0.15,0.0,0.0
HSPE1P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1P9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1P10,0.03,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.19,0.17,0.03,0.03,0.0,0.0,0.19,0.0,0.0
HSPE1P11,0.86,0.0,0.61,1.18,0.9,1.75,0.56,0.21,0.58,0.5,1.54,0.62,0.0,0.0,1.5,0.97,0.16
HSPE1P12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1P13,0.63,0.0,0.0,1.06,0.7,2.18,0.28,0.0,0.93,0.33,0.2,0.5,1.38,0.0,1.27,0.83,0.92
HSPE1P14,0.36,0.0,0.31,0.0,0.13,0.21,0.0,0.0,0.45,0.33,0.2,0.25,0.2,0.0,0.0,0.17,0.0
HSPE1P16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1P18,0.0,6.09,0.0,0.65,0.0,3.68,0.64,0.0,0.06,0.26,28.61,0.47,0.62,0.0,0.0,0.28,0.0
HSPE1P19,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1P20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1P21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1P22,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1P23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1P24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1P25,0.46,0.0,0.37,0.19,0.3,0.5,0.36,0.0,0.06,0.3,0.47,0.37,0.69,0.0,0.52,0.38,0.66
HSPE1P26,2.41,0.0,1.02,0.0,2.21,0.46,0.0,0.0,0.0,1.26,1.61,0.87,0.0,0.0,0.07,0.83,0.0
HSPE1P27,0.0,0.0,0.0,0.15,0.0,0.07,0.6,0.87,0.0,0.0,0.07,0.0,0.0,0.17,0.0,0.0,0.0
HSPE1P28,1.45,0.0,0.0,0.0,0.37,1.5,0.0,0.63,0.38,0.23,0.3,0.06,0.0,0.0,0.71,0.45,0.26
HSPG2,1.02,0.19,0.51,2.85,0.13,0.57,0.12,0.73,3.0,0.83,0.8,2.24,0.2,0.44,0.04,42.22,0.33
HSPH1,97.61,113.76,96.44,176.25,173.86,162.97,155.88,101.04,44.37,135.63,34.13,24.41,74.39,58.75,300.94,20.19,37.37
HTATIP2,0.1,80.44,36.66,8.82,0.0,46.72,65.02,15.0,16.49,30.69,49.14,37.67,21.97,16.8,23.58,61.37,36.31
HTATSF1,166.25,199.15,66.45,307.16,83.34,148.96,120.7,132.61,91.2,39.89,52.89,59.09,63.54,69.9,196.14,135.45,68.64
HTATSF1P1,0.03,0.0,0.1,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
HTATSF1P2,23.45,0.0,0.0,0.0,42.65,34.43,0.0,0.0,0.77,16.25,2.11,11.33,0.0,0.0,2.55,1.77,17.84
HTD2,0.5,0.42,0.31,0.53,0.33,0.5,1.08,0.56,0.38,0.4,0.7,0.31,0.43,0.44,0.34,0.28,0.2
HTN1,0.53,0.04,0.14,0.08,0.57,0.32,0.16,0.07,0.19,0.4,0.07,0.25,0.0,0.07,0.26,0.14,0.0
HTN3,0.2,0.08,0.0,0.04,0.1,0.18,0.0,0.0,0.1,0.17,0.07,0.09,0.0,0.0,0.04,0.14,0.0
HTR1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTR1B,0.0,0.0,0.24,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
HTR1D,0.03,0.04,0.07,0.04,0.0,0.29,0.08,0.03,0.0,0.0,0.07,0.06,0.03,0.03,0.0,0.03,0.0
HTR1DP1,0.0,0.0,0.1,0.11,0.0,0.04,0.2,0.14,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.26
HTR1E,0.0,0.0,0.0,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTR1F,0.0,0.0,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTR2A,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTR2A-AS1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTR2B,0.0,0.61,0.37,0.3,0.0,0.64,0.56,0.52,0.0,6.32,0.0,1.34,0.56,0.1,0.0,3.57,0.99
HTR2C,9.48,0.0,0.0,0.11,2.21,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0
HTR3A,0.0,10.08,0.03,0.0,0.0,0.04,289.72,0.03,0.96,0.1,0.0,0.0,95.21,0.03,0.0,0.0,11.09
HTR3B,0.03,0.3,0.0,0.11,0.03,0.04,1.16,0.0,0.06,0.03,0.0,0.03,0.16,0.0,0.04,0.0,0.03
HTR3C,3.44,0.0,0.07,0.0,0.13,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
HTR3D,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
HTR3E,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
HTR3E-AS1,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.06,0.0,0.3,0.0,0.0,0.1,0.0,0.03,0.0
HTR4,0.13,0.0,0.0,0.0,0.03,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
HTR5A,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.03,0.0,0.03,0.0,0.0,0.37,0.0,0.0,0.03
HTR5A-AS1,0.03,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.07,0.07,0.0,0.0
HTR5BP,0.0,0.08,0.44,0.3,0.0,0.07,0.32,0.38,0.13,0.03,0.27,0.0,0.16,0.03,0.0,0.03,0.0
HTR6,0.0,0.04,0.0,0.04,0.1,0.04,0.0,0.0,0.0,0.0,7.2,0.53,0.0,0.07,0.0,0.0,0.0
HTR7,0.03,0.08,1.16,0.08,0.0,0.57,0.0,0.03,0.16,0.0,32.86,0.0,0.03,0.0,0.0,0.0,0.0
HTR7P1,0.73,0.04,0.07,1.37,0.27,0.46,0.44,0.52,0.03,0.26,1.94,0.0,0.13,3.39,2.21,0.55,0.07
HTRA1,0.03,0.11,0.24,0.08,0.0,0.0,0.12,0.07,0.03,0.03,0.47,0.0,0.16,0.1,0.0,26.01,0.23
HTRA2,33.0,40.96,30.37,25.16,24.79,70.99,48.09,25.98,41.87,67.96,42.81,48.41,35.61,46.15,56.92,40.76,38.12
HTRA3,0.53,0.04,0.92,0.0,0.0,0.0,0.12,0.07,0.03,0.0,57.61,0.03,0.03,0.03,0.0,0.35,0.0
HTRA4,0.36,0.0,0.24,0.38,0.3,0.57,1.72,0.73,0.7,0.33,0.17,0.4,0.1,0.2,0.6,3.15,0.56
HTT,20.88,35.22,25.23,23.79,29.84,109.96,50.88,33.13,28.35,27.58,17.55,45.21,36.75,25.36,69.25,71.41,40.92
HTT-AS,0.03,0.0,0.0,0.19,0.03,2.54,0.84,0.0,0.19,0.13,0.03,0.22,0.0,0.0,0.19,0.45,0.33
HULC,0.17,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.13,0.03,0.06,0.0,0.1,0.07,0.0,0.1
HUNK,0.03,12.97,0.27,7.52,0.0,0.21,0.0,0.03,1.69,0.2,0.1,0.03,1.15,0.0,3.37,0.31,0.03
HUNK-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.28,0.0
HUS1,18.4,35.49,18.77,22.99,14.25,13.41,21.41,9.52,13.94,21.02,29.38,13.29,16.98,20.89,17.92,14.96,14.39
HUS1B,1.02,0.3,0.54,1.79,0.87,0.61,1.28,0.45,1.15,0.63,0.74,0.59,0.72,0.17,0.75,0.1,0.33
HUWE1,119.51,136.89,184.07,235.95,113.38,308.61,133.84,142.69,77.07,130.7,167.11,187.49,67.8,99.97,188.98,145.32,81.15
HVCN1,0.4,0.76,74.44,2.17,0.1,40.97,3.67,15.52,6.07,69.78,15.04,106.7,27.28,6.38,2.14,2.15,66.27
HYAL1,0.13,0.53,0.17,0.34,0.33,0.29,1.44,0.52,0.22,0.33,0.4,0.09,0.62,0.24,0.34,0.17,0.2
HYAL2,11.23,5.06,5.24,8.13,18.7,4.72,12.74,7.22,4.73,4.73,6.46,3.45,2.85,2.75,10.16,7.45,3.09
HYAL3,3.27,7.64,0.61,2.28,6.89,2.9,15.54,9.35,2.24,6.92,3.01,1.89,1.61,2.02,8.51,13.51,1.65
HYAL4,0.0,0.04,1.5,0.0,0.07,0.97,0.0,0.0,0.0,2.91,0.03,1.24,0.0,0.2,0.0,0.07,0.0
HYAL6P,0.0,0.0,0.65,0.0,0.0,0.29,0.0,0.03,0.0,0.5,0.0,0.43,0.0,0.0,0.0,0.0,0.0
HYDIN,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
HYDIN2,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
HYI,0.26,6.2,10.58,6.04,8.63,6.65,18.65,14.33,0.13,0.3,4.69,0.16,4.56,8.4,0.37,44.09,7.41
HYI-AS1,9.02,1.64,1.36,0.99,3.35,2.11,4.95,3.45,3.29,8.51,2.48,3.23,2.23,3.02,5.66,1.21,1.71
HYKK,1.62,0.11,0.37,0.72,2.44,1.89,0.48,0.31,0.29,0.4,1.07,0.56,0.03,0.3,2.74,0.42,0.36
HYLS1,19.26,27.04,21.59,21.17,2.51,23.92,3.51,9.59,33.18,20.82,3.52,17.23,9.7,19.68,20.29,21.92,8.23
HYMAI,0.1,0.0,0.0,0.3,0.0,0.07,0.04,0.03,0.03,0.03,0.64,0.09,0.0,0.0,0.97,0.28,0.0
HYOU1,226.11,84.44,253.79,97.09,113.55,93.98,49.21,52.39,93.21,469.16,99.82,390.98,23.97,89.45,72.18,94.03,42.24
HYPK,2.25,3.5,8.6,4.56,1.97,2.9,14.54,4.36,8.44,17.38,5.83,3.63,9.57,2.79,6.19,3.91,12.77
H2AP,0.1,0.0,0.0,0.0,1.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IAH1,17.84,26.02,14.21,12.24,5.42,21.52,21.69,15.21,5.72,0.46,24.12,13.35,23.31,0.27,25.76,27.36,27.85
IAPP,1.62,0.15,0.2,0.15,1.37,1.11,0.48,0.17,0.96,0.86,1.04,0.71,0.07,0.17,0.82,0.8,0.0
IARS1,216.13,191.88,312.55,162.0,152.45,137.2,145.18,216.94,246.46,228.72,161.25,211.71,91.41,190.12,190.1,186.95,249.77
IARS2,113.83,243.0,119.12,251.76,196.35,118.4,169.46,116.67,138.89,90.28,113.02,115.92,114.92,67.42,221.26,249.53,132.11
IARS2P1,0.03,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.06,0.0,0.03,0.06,0.0,0.0,0.07,0.03,0.0
IBA57,4.72,4.79,6.7,13.22,5.42,5.29,2.84,5.44,5.37,4.9,2.71,7.92,3.93,6.05,9.56,2.74,2.44
IBA57-DT,1.12,1.6,0.75,2.28,1.47,1.68,3.95,2.72,5.02,0.79,0.74,0.31,1.9,0.64,2.4,0.28,2.24
IBSP,0.26,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,36.14,0.0,0.0,0.0,0.0,0.0,0.0
IBTK,38.15,40.96,27.34,32.76,40.68,33.25,38.46,25.25,22.47,42.18,14.71,37.64,18.36,33.52,36.71,33.52,33.65
ICA1,0.96,0.11,1.46,0.27,13.85,6.43,0.44,1.53,0.06,0.73,2.58,2.76,2.0,2.65,2.92,20.4,2.9
ICA1L,1.55,0.38,1.05,5.4,0.8,2.18,4.15,1.53,3.96,2.81,1.07,11.49,0.89,1.78,3.71,0.97,1.68
ICAM1,37.23,1.9,198.56,1.25,70.72,366.24,1.76,24.69,22.5,318.66,128.29,661.35,31.61,4.94,3.75,46.96,23.44
ICAM2,25.57,14.11,24.01,9.77,22.65,22.13,2.44,8.55,56.32,20.52,10.82,49.68,33.28,10.98,2.1,3.5,62.32
ICAM3,38.52,45.34,31.08,1.98,0.33,132.91,46.85,28.25,44.59,72.66,0.13,87.47,50.89,16.22,30.3,85.89,134.45
ICAM4,0.33,0.0,0.0,0.0,1.3,2.43,0.0,0.0,0.13,8.74,0.47,2.39,0.0,0.0,0.52,40.17,8.39
ICAM5,0.03,6.5,1.02,2.39,3.48,11.69,9.23,3.84,5.08,18.41,84.01,11.49,18.85,7.42,0.04,5.68,29.1
ICE1,30.26,74.74,30.57,70.0,39.44,33.46,52.2,34.08,26.02,63.2,18.56,21.05,16.26,22.47,46.57,24.42,16.56
ICE2,16.62,20.42,16.93,22.95,11.24,14.23,14.3,9.77,18.51,16.12,6.2,10.09,10.72,9.54,26.58,17.8,15.37
ICE2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICE2P2,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CILK1,0.0,4.18,25.37,29.83,11.17,12.76,3.51,6.77,22.38,7.45,9.21,15.12,2.98,24.35,13.16,15.86,6.72
ICMT,75.84,75.38,22.55,40.93,82.93,52.73,78.84,61.18,63.8,48.99,72.32,53.35,29.9,86.73,91.9,43.57,51.55
ICOS,0.07,0.0,1.73,0.0,0.07,0.0,0.0,0.0,0.0,0.23,0.0,0.03,0.0,0.03,0.0,0.0,0.0
ICOSLG,0.43,0.8,19.32,4.14,0.87,1.86,7.39,9.38,9.21,0.26,1.17,62.88,13.67,22.1,4.54,6.86,6.58
ID1,3.34,0.68,3.64,2.05,23.65,19.34,0.36,0.49,4.09,4.73,385.44,1.09,2.98,1.75,1.05,4.92,8.33
ID2,94.47,76.11,33.05,22.04,216.05,137.88,4.55,6.31,121.85,22.54,127.49,197.59,18.16,62.78,50.77,73.77,7.51
ID2-AS1,0.59,0.23,0.31,0.08,0.2,2.29,0.08,0.14,0.29,0.17,4.59,2.14,0.0,0.3,0.37,2.08,0.63
ID3,10.01,52.6,32.1,291.62,8.87,237.76,5.35,295.55,524.17,36.88,60.39,53.57,169.54,348.5,283.92,1.21,101.3
ID4,0.0,0.08,0.14,0.04,0.0,0.43,0.0,0.07,5.56,0.07,0.0,0.03,0.75,0.07,0.0,0.0,0.03
IDE,55.1,50.66,25.03,52.75,36.16,47.76,20.81,30.27,23.78,39.73,7.03,49.62,19.28,11.45,37.38,23.2,39.01
IDH1,21.17,31.53,44.34,27.09,20.71,46.19,51.84,54.97,41.59,12.91,26.86,43.35,29.38,20.56,99.44,329.11,50.27
IDH1-AS1,1.19,1.06,1.73,0.68,0.37,3.9,1.88,2.09,3.87,1.03,2.78,1.06,1.15,2.69,3.41,6.2,5.53
IDH2,16.48,24.87,233.89,275.89,6.12,250.95,170.22,204.63,218.93,267.58,163.16,15.71,220.85,178.03,252.91,425.84,214.22
IDH2-DT,0.07,0.0,0.0,0.11,0.0,0.07,0.0,0.17,0.06,0.07,0.0,0.0,0.0,0.0,0.07,0.07,0.0
IDH3A,70.23,31.11,26.69,19.95,41.12,39.54,40.9,19.6,45.68,68.36,25.56,39.0,20.82,16.29,61.72,53.37,13.07
IDH3B,98.27,115.97,55.06,192.4,108.33,149.93,215.91,146.38,131.99,88.19,56.48,78.69,117.31,287.67,126.17,287.28,106.93
IDH3G,134.15,66.71,59.58,68.55,51.15,147.85,87.87,118.65,51.66,65.81,55.67,53.53,49.64,43.67,32.28,101.92,60.74
IDI1,75.31,178.23,192.44,141.67,74.04,218.17,179.21,168.46,216.09,76.84,91.04,47.26,135.41,117.03,205.93,201.04,78.78
IDI2,0.03,0.27,0.41,0.23,0.07,0.04,0.44,0.28,0.06,0.07,0.03,0.09,0.1,0.0,0.0,0.07,0.03
IDI2-AS1,0.76,1.48,2.92,1.56,0.74,1.97,3.39,2.09,0.64,1.32,1.31,0.25,1.87,0.81,1.24,0.24,0.66
IDNK,16.65,5.21,8.23,2.77,4.92,10.65,29.12,14.51,8.82,7.61,4.69,11.33,5.28,3.69,3.34,6.72,20.02
IDO1,0.2,0.0,0.0,0.04,0.03,0.36,0.04,0.0,0.0,3.08,0.07,2.33,0.0,0.17,0.0,0.0,0.03
IDO2,0.13,0.0,0.0,0.04,0.07,0.25,0.04,0.0,0.13,2.78,0.2,1.4,0.0,0.0,0.15,0.17,0.0
IDS,60.98,83.83,36.52,17.25,41.55,66.24,156.56,32.33,26.08,19.73,43.78,53.1,56.52,10.72,20.36,8.52,29.0
IDSP1,0.3,1.52,0.51,1.6,0.47,0.21,2.8,0.87,0.22,0.2,0.1,0.22,0.16,0.54,0.07,0.03,0.3
IDUA,0.03,1.26,4.59,4.03,1.91,12.26,8.71,6.94,4.79,0.3,8.17,12.23,5.97,3.12,4.5,28.4,7.67
IER2,154.1,22.59,84.03,23.14,239.2,111.35,33.91,28.77,110.54,97.26,211.26,104.55,102.82,56.73,31.72,67.15,82.14
IER3,9.84,1.22,8.71,25.88,3.01,23.63,0.84,5.82,1.79,93.59,76.27,10.56,3.05,9.64,0.75,0.38,2.5
IER3-AS1,2.18,2.05,1.05,0.8,4.18,7.9,4.63,0.24,6.52,1.13,0.94,2.73,1.31,0.4,2.32,0.28,6.78
IER3IP1,38.78,93.34,72.19,48.26,31.51,55.55,59.03,31.81,15.7,36.35,33.16,29.97,40.98,35.71,29.1,29.37,34.2
IER5,35.44,12.13,81.48,46.02,25.83,79.72,9.55,60.62,14.99,117.26,478.23,81.61,25.15,25.73,18.71,14.13,14.75
IER5L,3.14,0.0,0.41,0.65,6.06,0.29,0.24,1.15,2.17,1.39,118.71,0.12,0.59,0.47,0.15,16.49,1.35
IFFO1,23.59,21.57,30.03,14.48,16.46,16.8,29.75,27.38,21.54,8.11,6.4,15.37,17.18,26.33,20.51,23.13,25.05
IFFO2,11.17,0.11,7.28,0.42,0.37,16.98,0.04,0.28,0.06,20.92,46.43,27.76,3.41,0.0,0.0,4.54,4.05
IFI6,561.45,2.93,2.28,2.81,76.08,92.26,5699.65,17.61,11.86,178.27,61.63,182.25,1.28,8.77,4.16,86.79,1.09
IFI16,382.62,5.78,68.93,437.28,153.09,175.84,204.73,490.21,228.52,144.4,540.2,145.08,94.16,259.12,233.97,91.46,131.29
IFI27,452.71,0.84,0.71,0.34,0.33,4.36,310.93,1.29,0.42,1.36,1.64,5.15,0.16,0.3,0.56,0.35,1.38
IFI27L1,31.08,17.19,18.16,14.63,8.13,18.12,26.0,19.98,42.55,26.42,13.26,10.0,11.54,24.39,25.23,15.41,20.25
IFI27L2,27.81,14.49,24.14,10.3,8.13,59.45,43.09,30.59,40.66,5.2,53.8,21.83,24.89,12.76,17.74,31.9,32.39
IFI30,3.8,1.29,5.2,0.0,3.55,11.9,7.43,0.28,1.37,1.16,0.84,4.47,8.46,0.17,0.19,0.83,2.4
IFI35,189.05,3.16,28.05,3.19,67.14,75.68,343.96,6.59,8.12,0.86,24.55,121.1,2.13,15.15,5.85,5.09,4.58
IFI44,49.78,0.08,7.14,0.15,0.17,7.83,957.26,2.48,0.0,5.53,5.43,77.16,0.2,1.07,0.34,0.03,0.23
IFI44L,12.78,0.04,0.27,0.04,0.0,5.54,127.77,1.29,0.0,4.83,0.1,69.99,0.03,0.07,0.37,0.0,0.1
IFIH1,20.91,0.15,46.18,1.29,16.66,87.55,34.91,18.1,12.95,129.7,20.3,87.57,0.07,7.79,15.19,29.33,0.66
IFIT1,15.0,0.11,0.95,0.04,0.57,1.11,231.41,1.05,0.16,92.0,1.47,16.71,0.1,0.13,0.75,3.81,0.1
IFIT1B,0.03,0.0,0.0,0.04,0.03,0.0,0.08,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0
IFIT1P1,0.4,0.11,0.37,0.61,0.23,1.11,0.48,0.84,0.64,0.56,0.2,0.19,0.59,0.5,0.11,0.14,0.03
IFIT2,0.4,0.15,15.03,1.18,0.2,5.4,127.05,6.59,0.99,41.15,6.5,23.72,2.16,1.04,4.76,1.39,0.23
IFIT3,30.62,0.15,104.36,0.27,12.11,8.36,367.16,6.7,0.38,93.65,18.46,192.37,0.2,0.97,2.21,3.15,0.2
IFIT5,21.57,0.04,23.67,9.65,5.69,7.65,24.76,16.15,0.26,37.08,12.93,46.8,0.07,8.36,20.66,0.42,0.07
IFIT6P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
