Gene_symbol,CRO-AP2,DB,GRANTA-519,JM1,JSC-1,KARPAS-1106P,KARPAS-422,NU-DUL-1,OCI-LY7,RC-K8,SCC-3,SLVL,SU-DHL-4,SU-DHL-8,TK,TUR,WSU-DLCL2
Null,Sensitive,Resistive,Resistive,Sensitive,Resistive,Sensitive,Resistive,Sensitive,Sensitive,Resistive,Sensitive,Sensitive,Sensitive,Resistive,Resistive,Resistive,Sensitive
ABALON,0.53,2.02,1.56,4.79,0.57,2.86,3.51,6.49,1.5,8.11,0.23,3.88,1.34,22.04,1.05,0.55,0.36
ABAT,0.23,0.91,2.35,1.63,0.2,4.47,6.83,7.81,2.27,7.48,4.29,3.11,15.25,4.0,8.62,6.96,4.58
ABCA1,16.58,0.61,5.85,10.26,22.95,0.5,9.39,5.69,10.04,0.26,54.5,2.76,17.84,0.4,3.6,0.03,17.91
ABCA2,7.23,1.52,1.77,0.49,13.32,0.93,2.28,0.56,3.16,4.57,64.31,0.16,5.7,0.24,0.11,2.7,0.43
ABCA3,4.06,0.49,0.71,0.3,13.78,3.11,0.36,0.28,0.03,0.76,55.67,30.37,1.02,0.71,0.0,28.88,1.19
ABCA4,0.03,0.04,0.0,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.17,0.03,0.07,0.03,0.0,0.0,0.07
ABCA5,7.5,0.95,3.13,3.57,7.63,10.8,2.44,2.37,5.63,5.53,4.96,17.23,0.75,0.1,1.99,0.0,0.2
ABCA6,0.03,10.31,17.68,0.04,0.03,0.82,0.0,4.36,1.57,0.13,0.03,6.61,3.34,0.0,0.04,0.0,0.0
ABCA7,7.63,16.28,10.51,17.71,9.57,31.46,77.08,21.41,37.37,46.64,2.38,7.05,42.46,16.19,42.63,22.72,39.18
ABCA8,0.43,0.08,0.03,0.04,0.03,0.04,0.0,0.0,0.03,0.0,0.07,0.03,0.0,0.03,0.0,0.0,0.0
ABCA9,0.1,10.73,1.84,0.08,0.07,0.18,0.04,0.35,0.13,0.07,0.03,0.81,0.85,0.03,0.04,0.07,0.0
ABCA9-AS1,0.17,0.57,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
ABCA10,0.59,2.21,0.37,0.15,0.33,1.0,0.36,0.21,0.35,0.33,0.13,2.14,0.1,0.07,0.45,0.07,0.0
ABCA11P,4.29,5.32,2.21,2.51,1.34,3.25,10.66,4.64,4.22,1.95,0.03,0.43,1.84,2.49,5.06,0.24,3.92
ABCA12,0.3,0.38,3.09,0.27,0.7,0.75,0.12,0.35,0.0,0.3,0.07,4.25,0.79,0.5,4.12,0.0,4.54
ABCA13,0.07,0.04,0.0,0.04,0.03,0.07,0.04,0.03,0.06,0.07,65.12,0.09,0.0,0.03,0.07,0.87,0.0
ABCA17P,0.36,0.34,0.17,0.08,0.43,0.54,0.24,0.63,0.03,0.03,7.57,0.19,0.16,0.4,0.0,9.49,0.03
ABCB1,0.99,0.11,0.31,2.62,0.1,0.5,0.04,0.07,0.0,16.32,0.0,0.37,0.03,0.67,7.12,0.0,0.03
ABCB4,0.76,1.94,10.54,2.32,0.07,1.79,0.4,3.24,0.22,6.06,0.0,0.06,0.16,0.17,11.29,0.0,0.13
ABCB5,0.1,0.0,0.0,0.04,0.13,0.11,0.0,0.0,0.06,0.2,0.07,0.12,0.0,0.03,0.04,0.03,0.0
ABCB6,1.19,4.91,1.33,2.43,1.97,2.32,7.27,1.08,1.6,1.82,2.61,2.08,1.28,0.77,1.61,2.29,3.16
ABCB7,53.05,95.01,54.65,71.02,39.21,58.81,67.46,36.62,35.83,41.18,42.47,48.38,57.7,33.15,53.81,96.35,52.51
ABCB8,22.99,16.77,9.08,12.01,20.21,16.34,22.01,11.37,16.37,23.54,3.72,7.11,14.49,13.34,7.8,6.96,11.62
ABCB9,3.17,0.11,11.15,1.1,3.45,1.18,0.52,0.98,1.34,1.39,3.18,1.21,0.82,0.4,1.12,2.18,1.65
ABCB10,47.07,52.22,18.19,78.17,37.6,27.56,29.08,42.2,28.67,22.84,18.36,38.72,21.87,26.87,50.28,79.03,36.77
ABCB10P1,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.4,0.07,0.0,0.0,0.0,0.0,0.0,0.0
ABCB10P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0
ABCB10P4,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0
ABCB11,0.0,0.04,0.03,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC1,41.89,104.48,65.26,34.47,44.66,50.98,69.21,61.14,50.67,47.01,65.35,127.0,58.72,34.87,53.84,41.0,63.14
ABCC2,0.17,0.34,4.83,3.04,0.27,0.71,0.4,1.19,0.74,1.09,1.61,0.56,0.13,1.95,1.16,4.05,0.33
ABCC3,0.1,0.08,0.1,0.04,0.03,0.14,0.2,0.17,0.03,0.07,0.07,0.06,0.1,0.07,0.04,0.07,0.07
ABCC4,2.21,80.06,11.56,5.81,8.33,36.39,27.48,5.96,6.46,19.1,11.36,27.54,17.74,4.94,19.84,24.49,12.97
ABCC5,9.71,23.58,3.6,14.93,11.64,3.47,68.22,5.06,8.31,8.38,6.03,10.74,22.3,15.62,18.71,11.01,0.03
ABCC5-AS1,0.0,0.42,0.2,0.11,0.0,0.04,1.12,0.0,0.0,0.0,0.0,0.03,1.48,0.0,0.0,0.0,0.0
ABCC6,1.39,0.38,0.34,0.08,0.6,0.07,0.2,0.35,0.03,0.07,0.1,0.03,0.16,0.1,0.04,0.14,0.0
ABCC6P1,0.07,0.0,0.0,0.46,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC6P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC8,0.0,0.0,0.0,0.04,0.0,0.07,0.0,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0
ABCC9,3.2,3.08,2.48,2.74,2.04,2.61,4.59,2.96,1.57,1.56,18.39,1.27,1.08,1.14,1.35,1.07,1.02
