Gene_symbol,A3-KAW,A4-Fuk,BC-1,DB,DOHH-2,Farage,GRANTA-519,JSC-1,KARPAS-1106P,KARPAS-422,RC-K8,SCC-3,SLVL,SU-DHL-10,SU-DHL-5,SU-DHL-6,SU-DHL-8,TK,TUR,VAL
Null,Sensitive,Resistive,Resistive,Resistive,Sensitive,Sensitive,Resistive,Sensitive,Resistive,Resistive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistive,Resistive,Resistive,Resistive
,,,,,,,,,,,,,,,,,,,,
CD40,0.78,0.04,0.04,148.11,75.34,252.56,259.57,1.14,430.01,21.05,484.52,13.87,393.62,63.33,31.92,77.8,35.0,11.47,0.0,74.44
CD40LG,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,45.36,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.11
CD44,4.19,12.21,1.3,0.68,1.79,18.94,48.93,4.15,46.26,0.44,68.92,121.73,19.66,0.04,0.0,1.21,17.6,0.04,92.68,6.45
CD44-AS1,0.57,0.14,0.0,0.11,0.0,0.22,2.07,0.1,0.54,0.0,1.19,2.58,0.31,0.0,0.0,0.04,0.87,0.0,1.35,0.11
CD46,92.9,57.18,158.06,64.62,39.13,80.22,135.82,81.4,67.71,63.38,46.18,72.82,69.37,39.32,50.13,60.84,35.3,71.5,141.47,86.32
CD46P1,0.0,0.0,0.0,0.0,0.0,1.13,0.14,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD47,45.3,27.94,59.58,62.03,44.22,60.11,105.69,35.03,48.3,71.21,48.9,57.04,85.08,59.71,43.62,57.03,99.26,86.99,133.51,78.81
CD48,90.94,208.49,1133.27,153.16,9.16,168.92,195.3,326.52,122.72,0.76,11.06,14.47,399.18,89.05,20.47,209.12,61.6,28.35,1.42,116.9
CD52,0.88,7.3,0.36,750.38,337.85,381.15,100.52,24.92,452.32,825.54,5.2,12.93,2.64,381.2,450.47,761.37,85.29,6.52,4.57,413.29
CD53,0.68,2.7,0.11,27.8,521.43,874.65,397.39,251.95,508.12,391.13,70.08,2.75,443.61,518.59,523.93,476.14,161.34,114.32,40.94,166.26
CD55,78.18,54.65,16.53,30.5,29.65,30.35,102.12,19.07,10.05,40.94,31.75,98.81,74.49,3.87,0.0,5.71,42.39,23.1,55.07,70.79
CD58,42.77,50.58,38.68,3.99,6.37,183.93,59.71,55.23,0.0,2.48,10.73,43.31,203.58,3.41,7.46,8.31,55.66,3.64,21.99,14.58
CD59,161.46,188.38,246.25,77.48,21.17,79.05,71.89,150.41,40.54,3.59,51.54,260.47,33.41,24.01,20.26,3.08,6.21,14.25,0.07,48.01
CD63,511.13,972.79,44.06,72.49,63.91,50.6,127.76,113.75,74.18,182.04,46.31,277.89,67.82,19.39,73.85,73.84,119.21,73.83,212.12,71.81
CD68,0.41,0.46,0.25,0.08,0.32,0.36,0.17,0.27,0.43,0.36,0.23,1.51,0.37,0.21,0.18,0.26,0.07,0.04,4.78,0.29
CD69,0.0,0.07,0.0,0.3,2.69,0.69,66.38,2.31,13.87,5.51,0.07,0.23,6.86,0.39,139.92,0.37,62.61,5.29,68.4,3.54
CD70,25.35,180.48,549.04,2.89,40.03,436.93,332.78,362.25,119.65,60.07,224.81,22.01,513.2,22.98,291.22,28.68,25.16,9.82,19.84,322.24
CD72,1.59,0.25,1.8,69.98,34.07,53.59,59.48,1.37,6.68,38.66,0.4,6.67,0.12,27.07,11.28,181.94,69.9,3.71,8.0,33.5
CD74,0.37,10.49,1359.49,232.88,1957.65,819.46,2751.38,594.42,824.09,2446.4,2192.17,0.23,1813.04,2715.72,2574.39,4753.14,2781.56,2077.02,112.35,1362.44
CD79A,3.51,1.47,1.15,1102.88,1164.82,1195.01,1280.08,0.6,1955.43,1225.18,150.66,0.33,114.15,1257.71,1664.26,2035.74,746.38,257.74,10.49,506.61
CD79B,1.65,0.21,0.04,811.54,463.18,147.72,211.72,0.03,986.07,1754.73,23.97,0.07,33.01,387.98,436.51,690.75,1959.0,1037.8,1.18,1583.95
CD80,0.14,0.04,0.04,11.33,4.74,85.5,26.83,0.03,60.34,0.12,63.63,0.07,231.09,1.78,4.28,66.96,16.8,48.78,0.0,14.07
CD81,183.04,59.78,133.01,122.74,145.12,162.18,72.3,14.75,116.82,196.42,48.2,75.53,34.47,129.08,210.05,143.62,431.6,109.75,0.73,103.34
CD81-AS1,0.95,2.42,1.44,0.19,0.22,1.13,0.44,0.27,0.75,0.44,0.53,2.14,0.28,0.64,1.31,1.72,2.62,0.64,0.48,0.33
CD82,1.42,1.05,1.52,124.6,1.15,268.12,105.25,0.4,47.22,108.32,59.59,113.52,227.15,59.03,56.38,12.31,24.79,0.11,53.26,210.37
CD83,0.03,2.11,0.0,11.45,123.31,256.31,125.65,2.81,942.27,4.11,776.07,2.71,408.49,101.41,23.4,223.73,26.64,26.73,10.11,77.68
CD83P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD84,0.0,0.14,0.11,81.96,18.76,12.06,35.03,0.1,34.1,48.33,0.13,0.13,1.34,3.09,15.45,9.74,7.26,5.29,0.62,8.06
CD86,0.27,6.04,81.05,44.39,21.45,73.26,8.91,83.03,63.88,14.3,42.31,0.0,239.07,125.78,21.99,166.81,0.27,1.42,0.28,25.88
CD93,0.03,0.11,0.0,0.0,0.03,0.0,0.1,120.6,0.0,0.04,0.0,0.03,0.22,0.0,0.0,0.0,0.0,0.0,462.13,0.0
CD96,0.57,0.35,134.06,0.23,0.22,1.28,0.31,71.73,5.22,0.32,2.88,8.54,0.06,0.11,0.07,0.15,4.2,6.19,0.14,0.36
CD99,0.51,11.23,0.14,5.21,47.33,8.05,135.17,64.07,37.64,21.53,98.88,67.03,0.09,153.84,20.93,0.11,0.64,45.59,196.92,24.68
CD99L2,46.15,38.61,28.26,27.54,11.14,9.14,26.15,26.2,35.39,5.15,13.34,26.8,26.46,27.92,7.56,11.43,30.5,17.32,41.28,10.5
CD99P1,0.0,2.39,1.37,7.68,4.61,7.94,2.92,1.04,7.54,10.5,4.04,2.04,2.14,4.3,4.95,3.63,1.81,5.62,4.23,3.39
CD101,0.57,2.21,0.0,0.57,0.0,0.0,0.31,0.1,0.04,0.0,0.03,3.85,12.55,0.0,0.0,0.0,0.1,0.0,0.8,0.0
CD109,0.2,0.46,0.76,0.15,0.13,0.55,0.2,1.0,0.25,0.12,1.06,8.47,0.93,0.04,2.16,0.04,0.47,6.82,0.03,0.77
CD151,131.45,277.18,71.49,7.34,4.48,1.46,37.64,83.64,7.26,5.23,8.91,92.58,44.72,3.77,16.9,3.74,12.03,0.15,55.2,3.61
CD160,11.78,5.16,0.07,1.6,0.29,0.04,1.29,0.4,0.04,1.2,0.03,0.0,0.12,0.0,0.0,0.0,2.25,0.04,4.78,0.04
CD163,0.03,0.39,0.14,0.0,0.0,0.33,0.0,0.2,0.32,0.04,0.2,610.61,0.19,0.0,0.0,0.0,0.0,0.26,0.24,0.4
CD163L1,0.3,5.26,0.25,0.19,0.03,0.44,1.22,2.38,1.25,11.38,0.0,8.27,0.5,0.0,0.0,0.0,0.13,0.15,5.02,0.0
CD164,110.46,168.97,174.4,88.09,68.52,125.28,118.58,231.91,110.07,186.08,86.01,86.72,126.13,113.66,53.06,98.64,133.15,63.52,135.38,133.12
CD164L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.04
CD177,0.03,0.18,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD177P1,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD180,0.88,0.98,0.54,16.54,78.58,60.11,63.32,0.4,85.83,80.48,0.63,0.77,0.5,80.63,50.59,52.97,6.58,0.56,1.0,17.06
CD200,0.2,0.04,0.04,0.08,10.86,9.65,76.38,0.0,48.83,0.0,0.13,0.0,9.6,0.04,0.0,0.11,0.54,19.24,0.0,0.55
CD200R1,0.95,0.28,157.59,0.0,0.13,9.62,2.18,118.5,25.02,0.04,0.3,0.4,0.06,10.19,0.14,16.78,0.24,0.6,0.03,0.11
CD200R1L,0.37,0.04,0.0,0.0,0.0,0.0,0.0,0.64,0.07,0.0,0.03,1.51,0.0,0.32,0.0,0.77,0.0,0.0,0.0,0.0
CD207,0.03,0.11,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0
CD209,0.0,0.0,0.07,0.0,0.03,0.11,0.07,0.03,0.14,0.08,0.1,0.07,0.06,0.0,0.0,0.0,0.07,0.07,0.14,0.18
CD226,0.1,0.25,10.75,5.55,0.03,29.98,14.28,27.23,1.18,1.28,6.32,0.27,9.01,0.0,0.07,0.07,0.24,0.22,1.94,1.39
CD244,0.07,1.12,0.07,1.03,0.0,0.04,1.12,0.07,0.04,0.0,0.03,0.07,1.86,0.04,0.0,0.04,0.07,0.0,54.44,0.11
CD247,79.6,45.7,0.36,59.11,6.24,1.17,1.56,0.0,8.33,84.59,0.73,1.24,0.06,17.4,17.71,0.26,1.01,0.6,0.1,0.55
CD248,0.14,0.18,0.0,0.08,0.48,0.07,0.41,0.0,0.0,0.2,0.0,0.07,0.0,0.11,0.07,0.0,0.07,0.04,0.0,0.07
CD274,0.34,1.93,1.08,0.19,0.58,15.66,63.35,0.2,69.39,4.23,54.69,123.6,160.51,0.21,1.17,3.59,1.55,0.26,0.14,5.61
CD276,0.2,0.77,0.07,0.19,0.32,0.07,20.54,0.13,0.14,0.16,1.06,38.89,5.15,0.04,0.0,0.0,0.07,0.07,11.78,0.15
CD300A,0.03,21.41,0.0,0.0,0.06,0.0,45.74,0.13,0.0,0.0,0.0,172.14,214.97,0.0,0.0,0.0,0.0,0.0,6.68,0.04
CD300C,0.07,6.39,0.11,0.0,0.0,0.0,1.12,121.54,0.11,0.04,0.0,134.25,0.75,0.0,0.0,0.0,0.03,0.0,11.81,0.0
CD300E,0.0,0.18,1.95,0.0,0.0,0.0,0.0,12.85,0.04,0.0,0.0,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.21,0.04
CD300LB,0.03,0.35,0.0,0.0,0.0,0.0,0.03,0.27,0.0,0.04,0.0,6.67,0.12,0.0,0.0,0.0,0.0,0.0,0.52,0.07
CD300LD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD300LF,1.18,0.74,0.0,0.0,0.0,0.0,0.1,4.15,0.0,0.0,0.0,0.4,0.37,0.0,0.0,0.0,0.0,0.0,68.85,0.0
CD300LG,0.03,0.14,0.18,0.0,0.0,0.18,0.14,0.17,0.39,0.04,0.26,0.17,0.19,0.0,0.0,0.0,0.17,0.19,0.24,0.33
CD302,0.2,0.07,0.04,0.11,1.22,6.78,1.97,0.03,10.01,0.2,6.46,4.39,7.45,0.04,0.25,0.99,0.64,10.76,30.86,1.42
CD320,243.83,428.08,121.9,50.59,32.95,39.82,40.57,142.35,37.61,51.68,33.57,66.73,43.44,65.11,31.53,34.8,135.47,77.5,82.46,56.9
CDA,0.3,92.49,1.62,0.0,0.42,0.0,0.1,1.64,0.14,0.08,0.0,235.61,0.0,0.0,0.0,0.0,0.07,0.0,237.61,0.0
CDADC1,7.83,8.0,9.49,9.17,7.81,6.34,3.84,5.12,13.01,12.82,11.12,8.88,2.76,6.61,7.6,5.9,13.4,14.1,17.04,10.13
CDAN1,10.87,18.64,29.99,15.94,14.15,13.84,17.0,11.21,6.43,25.16,16.19,10.75,9.1,12.08,14.71,14.8,28.48,24.56,28.68,21.22
CDC5L,18.63,43.17,44.67,85.01,29.75,47.28,40.81,49.91,46.87,57.55,48.6,50.21,22.92,57.61,57.48,89.05,71.82,95.58,64.97,45.13
CDC6,14.14,61.92,10.43,74.43,57.45,75.66,38.19,29.77,48.15,62.66,94.78,18.76,36.49,80.52,99.12,37.0,69.47,80.39,15.38,1.06
CDC7,15.06,37.77,14.4,80.44,64.3,56.39,37.17,22.78,41.61,41.86,36.58,51.58,37.48,67.27,72.54,60.88,46.69,78.67,50.11,9.04
CDC14A,2.8,5.02,0.83,16.47,3.3,4.99,3.16,0.77,4.43,15.22,5.03,4.59,4.84,1.17,6.65,3.52,7.42,5.92,8.21,3.43
CDC14B,1.59,3.23,1.37,0.08,0.13,0.04,0.99,0.23,2.68,0.28,0.6,26.86,12.23,0.0,0.07,0.04,0.13,0.15,4.74,0.11
CDC14C,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.2,0.06,0.0,0.0,0.0,0.0,0.0,0.03,0.0
CDC16,60.8,55.81,55.75,85.81,45.6,71.4,75.53,70.79,95.91,74.45,101.23,78.35,72.91,68.66,67.38,66.67,41.18,96.81,140.78,74.03
CDC20,73.42,196.98,15.16,283.89,150.15,265.57,107.19,72.13,233.58,158.2,121.29,177.97,66.17,318.93,306.35,134.47,226.47,218.11,232.73,9.11
CDC20B,0.37,0.14,0.22,0.04,0.0,0.15,0.14,0.74,0.14,0.0,0.43,0.17,0.09,0.0,0.04,0.04,0.4,0.07,0.07,0.15
CDC20P1,0.54,0.39,0.22,2.85,0.0,0.04,0.61,0.0,0.04,0.68,0.89,0.94,0.03,0.0,0.88,0.29,0.07,0.04,0.03,0.0
CDC23,25.72,51.95,39.37,59.07,32.82,49.98,53.9,48.94,39.93,44.97,49.33,37.82,38.32,44.43,42.81,36.26,46.02,47.43,59.57,30.62
CDC25A,11.17,50.54,20.1,54.81,27.31,60.76,12.55,34.02,36.75,54.96,101.3,16.15,27.82,81.73,105.06,26.45,81.49,77.32,33.63,7.14
CDC25B,231.21,199.79,10.21,115.28,54.79,49.83,57.88,80.46,115.57,36.22,46.35,47.9,54.43,68.91,88.02,82.93,549.27,183.43,128.97,49.9
CDC25C,3.61,10.81,2.45,21.03,8.9,20.66,15.17,9.8,14.05,7.59,11.69,19.56,11.86,14.42,20.68,10.59,33.72,22.31,12.23,0.87
CDC26,66.44,89.01,44.24,94.4,79.28,65.57,74.95,50.25,69.92,107.96,42.77,57.18,32.05,65.11,63.74,60.0,53.61,68.17,49.7,117.23
CDC27,37.2,53.81,50.09,122.39,39.1,90.31,53.76,78.62,61.95,103.64,58.33,33.23,83.9,92.21,93.93,60.95,44.68,84.51,64.52,51.14
CDC27P1,0.07,0.0,0.04,0.0,0.0,0.04,0.27,0.03,0.04,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
CDC27P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC27P3,,,,,,,,,,,,,,,,,,,,
CDC34,34.16,54.72,94.22,71.96,33.65,63.97,27.75,99.9,54.23,73.73,34.79,95.06,76.05,84.39,91.31,63.84,62.38,167.45,86.23,102.54
CDC37,242.65,249.6,222.07,232.16,234.23,351.57,257.19,249.74,202.08,288.88,193.63,194.65,164.24,269.84,227.62,281.06,219.01,321.15,150.51,222.65
CDC37L1,11.01,11.27,20.32,28.22,6.12,10.53,19.35,12.51,23.27,21.73,9.04,14.94,8.88,9.59,11.7,15.2,6.11,10.87,8.69,15.97
CDC37L1-DT,14.28,2.04,6.6,5.78,3.94,2.55,7.35,1.34,9.08,6.55,1.56,2.65,1.43,2.7,6.75,3.41,6.48,2.25,3.43,8.13
CDC37P1,1.22,1.3,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC37P2,2.36,6.04,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC40,15.16,21.66,22.23,83.41,36.76,39.53,37.0,34.59,22.38,76.52,19.63,10.79,15.84,34.24,12.09,32.23,64.56,22.91,30.2,44.11
CDC42,186.99,204.0,201.65,233.15,178.32,324.18,128.64,274.36,298.71,218.47,142.68,226.87,249.38,271.41,220.73,194.43,191.16,229.17,233.25,273.43
CDC42-IT1,1.01,0.21,1.77,0.99,0.38,1.49,0.82,0.84,2.82,0.52,1.16,1.67,1.02,0.75,0.67,1.54,0.67,1.31,1.32,7.55
CDC42BPA,14.82,0.11,0.29,0.08,0.13,0.0,0.1,0.2,0.14,0.08,0.53,17.08,5.78,0.0,0.0,0.0,0.07,1.84,0.0,0.0
CDC42BPB,26.09,15.06,37.78,0.27,4.9,0.04,9.15,0.0,11.08,2.8,2.62,21.54,28.57,0.28,0.0,2.56,0.07,1.42,5.19,3.21
CDC42BPG,0.54,1.86,0.22,1.22,2.95,1.02,1.84,1.77,22.41,0.32,1.99,0.23,0.03,0.43,3.25,20.73,1.98,5.06,0.17,3.43
CDC42EP1,0.03,114.46,0.0,0.11,0.13,0.07,7.75,0.13,0.04,0.2,0.03,34.1,0.0,0.0,0.0,0.0,0.03,0.07,0.0,0.22
CDC42EP2,5.98,8.49,5.2,4.41,2.27,4.55,2.41,4.22,0.79,4.35,3.71,5.06,5.09,1.74,2.69,7.58,0.94,1.5,2.98,5.61
CDC42EP3,5.98,4.35,0.14,5.63,1.02,13.44,11.63,0.1,13.48,6.11,7.45,19.93,17.95,18.9,10.96,13.7,0.81,1.46,22.82,6.16
CDC42EP3P1,0.07,0.11,0.0,0.08,0.0,0.0,0.24,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42EP4,16.58,6.49,1.41,0.0,0.29,0.04,2.11,4.05,1.0,0.08,0.53,17.79,12.55,0.0,0.0,0.18,0.03,0.0,12.88,0.26
CDC42EP5,0.2,0.18,0.11,0.0,0.0,0.0,0.82,0.1,0.18,0.0,0.17,0.23,39.81,0.0,0.0,0.0,0.0,0.0,0.07,0.8
CDC42P1,0.0,0.0,0.0,0.11,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
CDC42P2,0.0,0.0,0.07,0.0,0.0,0.0,0.17,0.97,0.07,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42P3,0.0,1.16,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42P4,0.3,0.14,0.36,1.9,1.15,0.22,1.16,0.3,0.32,3.08,0.1,0.17,0.16,0.32,0.18,0.04,1.28,0.19,0.14,0.47
CDC42P5,0.0,0.14,0.0,0.0,0.13,0.0,0.0,0.0,0.04,0.48,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.04
CDC42P6,0.0,0.63,3.72,0.87,0.22,4.3,0.17,5.35,12.37,0.44,2.05,3.08,2.55,0.21,0.18,0.22,0.64,3.34,2.56,3.9
CDC42SE1,150.53,137.52,173.9,97.18,66.83,98.79,107.22,135.22,75.43,172.9,113.78,305.39,179.11,137.21,73.85,99.27,71.58,59.24,110.44,109.72
CDC42SE2,46.25,50.02,51.17,114.22,41.56,120.43,111.68,109.46,125.87,103.28,30.92,38.29,110.92,69.87,92.62,79.23,53.91,77.35,1.39,139.28
CDC45,14.04,55.95,12.49,86.45,68.3,95.99,58.32,40.81,50.62,116.22,66.47,22.21,58.35,112.99,144.83,24.83,176.42,46.79,29.2,0.91
CDC73,12.69,34.85,54.81,64.7,30.42,77.92,31.9,34.19,52.84,73.25,29.96,69.04,39.41,40.35,43.76,44.1,56.8,48.59,36.36,61.13
CDC123,144.79,113.44,120.49,279.51,144.32,224.91,199.0,120.44,164.94,205.65,75.91,124.88,137.65,298.04,196.2,142.96,132.62,124.34,95.45,152.04
CDCA2,6.35,40.72,4.87,109.96,32.21,96.54,32.85,30.64,80.79,35.51,35.85,35.74,29.34,79.95,69.82,19.82,46.52,43.12,45.89,4.23
CDCA3,8.41,47.21,4.29,55.26,29.56,29.8,31.83,21.95,29.99,27.04,13.18,30.41,12.48,45.25,98.63,28.2,102.89,36.41,22.89,2.59
CDCA4,40.31,50.93,39.95,57.66,48.32,129.58,113.85,19.1,62.67,55.08,81.07,103.4,77.04,71.43,115.56,50.15,102.82,107.05,64.17,24.71
CDCA4P1,3.14,0.35,0.0,2.43,0.51,0.0,7.07,0.0,0.11,5.31,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0
CDCA4P2,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDCA4P3,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDCA4P4,0.44,0.32,0.61,0.38,0.38,1.17,0.54,0.67,0.93,0.24,0.23,0.13,0.37,0.04,0.28,0.18,0.37,0.79,0.48,0.73
CDCA5,15.33,95.65,12.05,195.88,99.84,125.72,121.71,50.88,77.89,82.27,116.0,64.85,109.58,147.09,126.31,76.96,236.07,111.89,69.2,2.11
CDCA7,0.1,0.14,11.48,310.17,355.4,280.76,123.68,32.02,150.32,54.52,42.37,53.06,28.54,202.25,232.43,94.32,261.67,162.32,106.91,48.88
CDCA7L,39.09,115.55,66.76,246.69,92.51,66.05,62.03,89.16,30.21,173.62,35.16,29.74,27.29,159.06,187.22,78.79,97.82,116.01,190.89,55.59
CDCA8,41.83,107.9,12.92,212.08,133.14,147.68,121.5,54.3,107.96,89.46,88.29,88.67,70.4,179.69,161.59,110.18,253.68,171.95,156.16,8.31
CDCP1,0.1,0.39,0.04,0.08,0.7,0.0,0.14,0.54,0.07,0.08,0.07,3.05,0.03,0.0,0.0,0.0,0.1,0.04,0.07,0.07
CDCP2,0.03,0.0,0.07,0.04,0.0,0.11,0.03,0.03,0.04,0.04,0.03,0.23,0.03,0.0,0.04,0.11,0.03,0.07,0.45,0.07
CDH1,0.2,1.75,2.42,0.19,0.51,0.04,0.99,0.03,0.71,0.28,0.03,0.1,14.16,0.04,0.0,0.0,0.1,0.07,0.03,0.18
CDH2,0.07,2.53,0.25,0.15,0.67,0.0,18.33,0.37,0.14,0.16,0.33,0.0,0.03,0.0,0.0,0.0,0.2,0.04,0.0,0.04
CDH3,0.27,0.14,0.29,0.3,0.29,0.26,0.54,0.2,0.32,0.24,0.23,1.07,0.19,0.04,0.0,0.04,0.13,0.34,0.8,0.77
CDH4,1.45,0.25,0.0,0.46,0.06,0.0,0.34,0.0,0.04,0.84,0.0,13.23,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
CDH5,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH6,0.03,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.04
CDH7,0.0,1.23,0.04,0.34,0.0,0.04,0.0,0.03,1.07,0.0,0.1,0.03,0.06,0.0,0.0,0.0,0.0,0.04,0.03,0.07
CDH8,0.3,0.56,1.41,1.06,0.06,0.07,0.1,0.23,0.07,0.08,2.88,0.03,0.31,0.11,0.04,0.04,0.03,0.04,0.03,0.07
CDH9,0.07,2.95,0.0,1.18,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH10,0.0,5.62,0.18,1.56,0.0,0.0,0.14,0.0,0.0,0.0,0.03,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH11,0.07,0.07,0.0,0.04,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.56,0.0,0.0,0.0,0.03,0.0,0.0,0.0
CDH12,0.03,0.14,0.69,11.68,0.06,0.04,0.24,0.0,0.0,0.04,0.07,0.03,0.06,0.04,0.0,0.0,0.03,0.11,0.0,0.04
CDH12P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH12P2,0.2,0.0,0.0,0.65,0.0,0.0,0.65,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
CDH12P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0
CDH12P4,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH13,0.03,0.11,0.04,0.04,0.38,0.0,0.07,0.03,0.14,0.36,0.03,0.07,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.04
CDH15,1.99,0.81,0.07,0.04,0.0,0.04,0.07,0.2,0.54,0.08,0.1,3.79,0.06,0.0,0.0,0.04,0.0,0.04,0.14,0.33
CDH16,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH17,0.1,0.14,0.04,0.11,0.03,0.07,0.17,37.77,1.0,0.0,0.03,0.03,0.03,0.04,0.0,0.0,0.07,0.04,0.0,0.0
CDH18,5.94,22.78,19.45,0.27,0.06,0.15,0.1,1.3,0.18,0.0,0.2,0.17,0.43,0.0,0.0,0.0,0.0,0.11,0.14,0.22
CDH18-AS1,0.14,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH19,0.07,1.51,0.22,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH20,0.0,0.07,0.04,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH22,0.0,0.04,0.0,0.0,0.0,0.0,0.27,0.0,0.0,13.42,0.0,0.84,0.0,0.0,0.0,0.0,0.03,0.0,0.17,0.0
CDH23,0.07,0.11,0.0,0.04,0.1,0.0,1.7,0.0,0.0,0.2,0.07,0.2,0.03,0.04,0.25,0.0,0.1,1.35,0.31,0.73
CDH23-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH24,1.76,11.72,17.86,1.1,2.4,0.44,1.36,21.18,0.43,0.48,3.74,108.53,8.1,0.14,0.78,3.55,2.15,0.34,10.39,0.87
CDH26,1.42,0.56,0.51,0.53,0.16,0.22,0.14,0.07,0.11,1.12,3.44,1.04,0.12,0.21,0.25,1.39,0.17,0.41,2.39,0.36
CDHR1,0.0,0.0,0.0,4.72,0.06,0.8,4.56,0.03,8.76,0.0,0.36,4.22,2.14,0.0,0.0,0.29,0.0,0.0,0.0,1.82
CDHR2,0.64,2.04,0.22,1.06,1.15,0.15,1.73,0.13,0.04,0.8,0.07,0.4,0.81,0.18,0.11,0.18,0.81,0.04,0.21,0.4
