Gene_symbol,A3-KAW,A4-Fuk,BC-1,DB,DOHH-2,Farage,GRANTA-519,JSC-1,KARPAS-1106P,KARPAS-422,RC-K8,SCC-3,SLVL,SU-DHL-10,SU-DHL-5,SU-DHL-6,SU-DHL-8,TK,TUR,VAL
Null,Sensitive,Resistive,Resistive,Resistive,Sensitive,Sensitive,Resistive,Sensitive,Resistive,Resistive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistive,Resistive,Resistive,Resistive
,,,,,,,,,,,,,,,,,,,,
AASDH,13.1,14.18,22.16,23.2,13.1,14.1,19.83,23.42,14.41,19.77,17.64,12.59,7.79,14.56,18.7,8.75,14.31,12.26,12.36,21.47
AASDHPPT,27.21,59.95,48.28,98.13,26.77,48.6,33.73,40.61,41.11,106.76,41.08,27.07,39.28,51.47,41.22,31.39,30.6,69.03,34.18,50.81
AASS,19.17,17.09,8.37,0.3,0.74,6.74,2.01,6.36,3.47,0.76,0.23,1.51,14.91,0.11,0.07,2.89,0.24,29.55,0.1,0.33
AATBC,0.44,2.32,0.04,1.79,2.88,11.99,5.0,0.03,30.46,7.07,1.92,0.03,0.31,0.0,0.0,0.04,0.84,0.04,0.66,0.11
AATF,54.92,92.52,50.01,111.21,71.82,73.55,77.87,79.86,81.43,133.64,64.55,59.79,72.88,111.96,92.41,77.8,90.46,123.55,56.94,70.02
AATK,0.0,0.04,0.07,0.04,0.0,0.0,0.54,0.0,0.0,0.04,0.0,0.57,0.0,0.0,0.0,0.0,0.03,0.0,0.07,0.0
ABALON,2.19,1.37,0.32,2.02,1.31,1.49,1.56,0.57,2.86,3.51,8.11,0.23,3.88,0.07,0.32,0.51,22.04,1.05,0.55,0.91
ABAT,1.82,2.0,0.61,0.91,1.63,2.22,2.35,0.2,4.47,6.83,7.48,4.29,3.11,0.32,0.25,10.84,4.0,8.62,6.96,1.79
ABCA1,26.13,5.58,15.3,0.61,20.05,0.26,5.85,22.95,0.5,9.39,0.26,54.5,2.76,2.7,0.21,17.8,0.4,3.6,0.03,42.72
ABCA2,0.2,14.99,7.61,1.52,0.54,0.69,1.77,13.32,0.93,2.28,4.57,64.31,0.16,0.11,0.07,1.98,0.24,0.11,2.7,22.89
ABCA3,0.1,1.9,40.42,0.49,1.44,1.38,0.71,13.78,3.11,0.36,0.76,55.67,30.37,0.21,0.46,3.26,0.71,0.0,28.88,8.64
ABCA4,0.07,0.11,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.17,0.03,0.0,0.0,0.04,0.03,0.0,0.0,0.0
ABCA5,11.07,2.84,11.33,0.95,1.02,21.68,3.13,7.63,10.8,2.44,5.53,4.96,17.23,0.25,6.79,4.98,0.1,1.99,0.0,1.39
ABCA6,0.17,0.0,0.43,10.31,0.03,6.59,17.68,0.03,0.82,0.0,0.13,0.03,6.61,0.11,0.42,0.0,0.0,0.04,0.0,0.11
ABCA7,30.55,31.03,8.73,16.28,51.3,43.1,10.51,9.57,31.46,77.08,46.64,2.38,7.05,17.4,40.87,129.74,16.19,42.63,22.72,29.13
ABCA8,0.03,0.04,21.83,0.08,0.0,0.0,0.03,0.03,0.04,0.0,0.0,0.07,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.04
ABCA9,0.34,0.04,0.11,10.73,0.0,1.57,1.84,0.07,0.18,0.04,0.07,0.03,0.81,0.04,0.04,0.0,0.03,0.04,0.07,0.11
ABCA9-AS1,0.07,0.0,0.43,0.57,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA10,1.28,0.11,0.76,2.21,0.03,2.62,0.37,0.33,1.0,0.36,0.33,0.13,2.14,0.04,0.14,0.11,0.07,0.45,0.07,0.22
